team_id,total_score,num_games,wins,losses,power,overall_rank,recent_opponent_1,recent_opponent_2,recent_opponent_3,recent_opponent_4,recent_opponent_5,div_rank,last_rank
Clark NV,0,0,0,1,270.3118331,-1,570,570,570,570,570,-1,0
Pawnee,0,0,0,0,270.1706,-1,0,0,0,0,0,-1,0
Delta Jv,0,0,0,0,269.9235,-1,0,0,0,0,0,-1,0
Frontier Academy,0,0,3,19,269.9151577,271,489,147,176,489,177,44,0
Lewellen NE,0,0,0,0,269.8534,-1,0,0,0,0,0,-1,0
Soroco,0,0,8,14,269.2547529,272,178,179,224,224,181,36,0
Navajo Pine NM,0,0,0,0,269.11395,-1,0,0,0,0,0,-1,0
Elkhart KS,0,0,0,3,268.6857278,-1,246,165,152,246,165,-1,0
James Irwin,0,0,4,14,268.6058362,273,313,597,547,929,154,37,0
Twin Peaks,0,0,12,9,268.3967357,274,697,729,729,378,703,38,0
Altamont UT,0,0,1,2,268.3374543,-1,677,179,160,677,179,-1,0
Ridgway,0,0,12,9,268.3366296,275,162,185,217,230,186,39,0
Adams City,0,0,4,19,268.1898606,276,14,72,14,33,13,58,0
Swallows Charter,0,0,9,13,268.1213747,277,1265,153,190,191,196,40,0
Deer Trail,0,0,7,15,267.9444682,278,260,273,210,635,264,37,0
Skyline,0,0,1,22,267.8860143,279,642,29,137,4,328,59,0
Limon Jv,0,0,0,0,267.8411,-1,0,0,0,0,0,-1,0
First Baptist FL,0,0,0,0,267.77029,-1,0,0,0,0,0,-1,0
Alameda,0,0,13,7,267.6560731,280,37,378,142,129,47,43,0
Pomona,0,0,3,19,267.6229973,281,642,88,55,57,52,60,0
Highland JV,0,0,0,0,267.19003,-1,0,0,0,0,0,-1,0
Arvada,0,0,11,11,267.0245053,282,54,378,142,378,90,44,0
Felt OK,0,0,0,2,266.7219151,-1,305,520,305,520,305,-1,0
Legacy Academy NM,0,0,0,0,266.635008,-1,332,332,332,332,332,-1,0
Walsh,0,0,5,16,266.3301623,283,286,246,305,511,297,38,0
Brush Jv,0,0,0,0,266.26715,-1,0,0,0,0,0,-1,0
Mancos,0,0,7,13,265.9986666,284,184,185,231,83,230,41,0
Lincoln,0,0,13,10,265.995277,285,672,28,460,14,1147,45,0
Olathe,0,0,4,17,265.848592,286,160,118,230,159,163,45,0
Vilas,0,0,0,0,265.81272,-1,0,0,0,0,0,-1,0
Far Northeast,0,0,0,0,265.4946451,-1,665,28,51,68,19,-1,0
Creek Valley NE,0,0,0,2,265.4061385,-1,294,281,294,281,294,-1,0
Dundy County NE,0,0,0,0,265.0556813,-1,147,147,147,147,147,-1,0
Golden View Classical,0,0,12,9,264.4657949,287,540,729,697,729,542,42,0
Denver Waldorf,0,0,6,10,263.6357448,288,273,731,294,280,226,39,0
Denver Jewish Day,0,0,9,9,263.1546931,289,202,226,282,387,729,40,0
Aurora Science & Tech,0,0,0,2,263.1214292,290,1209,1209,1209,1209,1209,3,0
Denver Jewish Day JV,0,0,0,0,263.0847656,-1,222,202,588,222,202,-1,0
Our Lady Of Victory,0,0,1,1,262.9113768,-1,703,542,703,542,703,-1,0
Lodgepole NE,0,0,0,0,262.87904,-1,0,0,0,0,0,-1,0
Peetz,0,0,5,18,262.8742997,291,276,285,284,319,284,41,0
Platte Canyon,0,0,6,17,262.2927392,292,337,594,141,90,176,46,0
Fowler JV,0,0,0,0,262.127269,-1,260,260,260,260,260,-1,0
Centennial,0,0,10,9,261.0967606,293,197,271,312,261,301,42,0
Front Range Christian,0,0,8,14,260.8037327,294,356,222,109,624,171,43,0
Caprock Academy,0,0,7,16,260.3693844,295,139,482,179,373,181,44,0
Keyes OK,0,0,0,0,260.23811,-1,0,0,0,0,0,-1,0
Lamar Jv,0,0,0,0,260.07741,-1,0,0,0,0,0,-1,0
Custer County,0,0,8,14,259.7466528,296,332,438,269,199,482,45,0
Estes Park,0,0,6,15,259.464573,297,222,612,141,215,645,47,0
Midland Adventist KS,0,0,0,1,259.0778434,-1,1164,1164,1164,1164,1164,-1,0
